STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage,Direct_Care_Percentage,Total_RN_Percentage,Nurse_Aide_Percentage,Total_Nurse_HPRD_Median,RN_HPRD_Median,Nurse_Care_HPRD_Median,RN_Care_HPRD_Median,Nurse_Assistant_HPRD_Median,Contract_Percentage_Median
AK,2025Q3,18,92.0,65716.0,39.7,714.3,392760.93,117859.34,370037.50000000006,96206.07,228178.99,47543.80999999999,5.9766408484996045,1.7934649096110535,5.630858542820623,1.463967222594193,3.472198399172196,12.105025313999535,94.214437265947,30.00790837316736,58.0961527919796,6.7368398503816636,2.0742230112215627,6.329884805355816,1.7737666405638215,,11.214904423476703
AL,2025Q3,223,92.0,1996241.0,97.3,21698.3,7817751.450000001,1223914.2999999998,7272744.430000003,840255.8399999997,5021555.029999997,69457.23000000001,3.916236291109141,0.6131094892851112,3.64321964632527,0.4209190373306628,2.5155054074132317,0.8884553371161473,93.02859622123192,15.65557958484341,64.23272806914315,3.944843726633767,0.6126768867924528,3.631501677852348,0.4218648984666392,,1.325733052427214
AR,2025Q3,218,92.0,1540436.0,76.8,16743.9,6321843.020000002,601782.0999999997,5802956.240000001,296285.4200000001,4257083.480000001,123490.79,4.103930977982858,0.3906569958115752,3.767086876702441,0.1923386755438071,2.7635575122887297,1.953398551803964,91.79215968573668,9.519092740774818,67.33927853842849,3.9770173201395647,0.3724314644756881,3.631399981993702,0.16232032864394236,,1.0607759686862948
AZ,2025Q3,139,92.0,1092377.0,85.4,11873.7,4432241.13,714855.4699999995,4138999.5100000016,522629.2300000001,2565856.720000001,131930.88,4.057428094879332,0.6544036262206175,3.788984489786953,0.4784330226652521,2.3488747199913598,2.976617835771945,93.3838974144442,16.12853292573456,57.89072942428115,3.8940803274494735,0.6194559520838532,3.603773938663452,0.4360170038743005,,2.8550241008528
CA,2025Q3,1139,92.0,9203962.0,87.8,100043.1,40098043.36000004,5238500.630000006,37730169.92999997,4105447.750000001,24051034.98000001,938819.6599999996,4.356606791727306,0.5691571336344072,4.099340037475162,0.4460522272908124,2.613117587838804,2.3413104015357598,94.09479058930305,13.064230049752735,59.98057003447758,4.227595961967369,0.4852384500745154,3.9640621885589007,0.36705577894518965,,1.8739748780234609
CO,2025Q3,208,92.0,1405964.0,73.5,15282.2,5062764.61,1079061.58,4731439.350000002,818015.6399999995,3020997.969999999,303754.3100000001,3.6009205143232688,0.767488769271475,3.365263513148276,0.5818183395876421,2.148702221394004,5.999771535892128,93.4556455706915,21.313682604730065,59.67091505761313,3.4430935963087235,0.7598441541766368,3.247866383272301,0.5463705640386004,,6.247660978236372
CT,2025Q3,192,92.0,1801710.0,102.0,19583.8,6748379.399999999,1113200.4200000002,6293997.42,727647.3999999999,4067206.599999998,423527.08,3.7455414023344487,0.6178577129504749,3.493346554106932,0.4038648839158354,2.257414678277857,6.275982052817008,93.26679854425494,16.495818536817897,60.26938260169543,3.751171749139751,0.5966880021971686,3.542550849324585,0.39747720583044377,,5.603446065933883
DC,2025Q3,17,92.0,188001.0,120.2,2043.5,810069.7100000002,226826.86000000004,733343.46,158996.04000000004,461410.2,32136.66,4.308858516710019,1.2065194334072693,3.9007423364769336,0.8457191185153272,2.454296519699363,3.96714746932088,90.52843859573515,28.00090624299481,56.95932020467718,4.617882172579939,1.2450885122410549,4.369662964381462,0.9844482109227876,,9.866406136216822
DE,2025Q3,43,92.0,353294.0,89.3,3840.2,1464387.47,294756.6500000001,1334249.88,181820.87,819083.6799999999,91613.12,4.144954259059027,0.834309809959977,3.776599319546893,0.5146446585563298,2.318419446693122,6.256071011041907,91.11317239009156,20.128323687445924,55.93353513192789,3.939512868885595,0.8075300546448085,3.659160463697376,0.5190758640545862,,5.790213473454086
FL,2025Q3,686,92.0,6782074.0,107.5,73718.2,25752394.21000002,4786878.420000005,24031891.500000007,3524581.5600000047,15690861.290000005,308665.11000000016,3.797126691628552,0.7058133573889056,3.543442831794523,0.5196908143438135,2.313578602946533,1.1985880127609303,93.319057265239,18.58809080415984,60.92971846441765,3.6776990938013965,0.6370105442569116,3.457568698053752,0.454276516281676,,0.9656035128897357
GA,2025Q3,351,92.0,2881029.0,89.2,31315.5,10120978.740000004,1316286.7300000002,9459598.14,842865.3699999998,6154952.669999996,329658.0800000001,3.5129735729838205,0.4568807637826624,3.283409552628592,0.2925570586064908,2.1363730354675345,3.257175896409401,93.4652505751632,13.005528060223943,60.81380890243817,3.45955567171981,0.4353392130257802,3.216286248830684,0.2645720924228734,,4.77946278381789
HI,2025Q3,42,92.0,314731.0,81.5,3421.0,1456116.77,489838.16,1350763.0600000003,390026.4799999999,850446.6699999999,119669.07,4.6265438422017535,1.556370869091383,4.291801760868807,1.239237571132173,2.70213823868637,8.218370426432216,92.76474853043553,33.64003286632019,58.40511472167167,4.587390742329477,1.5097133418140989,4.16373517144524,1.227912056072499,,8.668666662491304
IA,2025Q3,386,92.0,1836281.0,51.7,19959.6,7004049.149999999,1303923.68,6489447.240000003,892755.2500000003,4661767.919999997,296451.1399999999,3.814257812393636,0.7100894035281092,3.534016438660533,0.4861757269176124,2.5387007326220754,4.232567956779686,92.65279413409034,18.61671230562396,66.55818398989959,3.6927875761443607,0.6747559971606003,3.4431732731846267,0.45052331979081106,,4.279280796480246
ID,2025Q3,77,92.0,398272.0,56.2,4329.0,1574851.34,309735.9999999998,1466921.9800000002,220059.81,950620.75,92110.32,3.9542105395307727,0.7776996625421818,3.683216445042584,0.552536482604853,2.38686312369436,5.848826340650033,93.14669535729008,19.667634152694045,60.362570476017126,3.914774948714855,0.7268315301391036,3.620067560651039,0.5218476803432555,,6.727311080843883
IL,2025Q3,658,92.0,5670689.0,93.7,61637.9,18806499.350000028,3755398.470000002,17705744.660000023,2949346.330000001,11417980.699999996,1125378.0499999998,3.316439915855027,0.6622472983441698,3.122326874212291,0.5201036999207682,2.0135085348535244,5.983984733448004,94.14694532185754,19.96862042270507,60.71295081293256,3.357724736808273,0.6180101461888139,3.1763080630821987,0.4958295408793285,,4.365404176998156
IN,2025Q3,498,92.0,3245896.0,70.8,35281.5,11863395.44,1997780.150000002,10858505.440000003,1344355.51,7360256.709999996,406868.73000000033,3.654890803648669,0.6154787922964883,3.345302942546528,0.4141708514382469,2.267557774494314,3.4296144982924077,91.5294908183555,16.83986814823735,62.04173794277565,3.5691190298701523,0.6070625350304653,3.2414287308660645,0.3946204005589194,,3.7028102665465
KS,2025Q3,296,92.0,1367061.0,50.2,14859.4,5452012.830000001,895617.01,5070568.199999998,604034.9400000004,3609741.34,251706.39,3.9881269599527753,0.6551404875129933,3.709101642135938,0.4418492956788324,2.640512266826425,4.616760778972708,93.003599919995,16.42727260419891,66.20933318676725,3.952656627373649,0.6570885705933937,3.638187476628839,0.4280589415213702,,4.6136024078124
KY,2025Q3,267,92.0,1987400.0,80.9,21602.2,7731617.249999995,1376285.6699999997,7042109.350000003,905604.7100000004,4772733.420000002,261719.99,3.8903176260440753,0.6925056204085738,3.5433779561235803,0.4556730955016606,2.401496135654625,3.3850613854430023,91.08197059289256,17.800747573219564,61.73007878785004,3.762424334140437,0.6392622787830582,3.384443465122136,0.4042560000000003,,2.981261681831268
LA,2025Q3,256,92.0,2149765.0,91.3,23367.0,7979388.8,554159.2399999996,7294932.15,266987.86999999994,4967903.6800000025,281556.97,3.7117493307408016,0.2577766593092732,3.3933626000981505,0.124193979341928,2.310905461759775,3.5285530891789603,91.42219201049583,6.944883297327229,62.2592006044373,3.7308789082763862,0.240576261257963,3.4122091926416975,0.1029132144361746,,3.3192958466314053
MA,2025Q3,339,92.0,3037206.0,97.4,33013.1,11568234.97,1863386.7600000012,10588177.990000004,1262978.81,6806864.410000003,659621.3499999995,3.8088410763049994,0.6135200444092371,3.486157340002622,0.4158357417969015,2.241159937784926,5.702005117553378,91.5280335976786,16.107787962747455,58.840993700874,3.7249562554680655,0.5881475595913738,3.4104089552238803,0.3852839222445657,,6.142506142506143
MD,2025Q3,219,92.0,2102707.0,104.4,22855.5,7896532.62,1541144.1299999994,7281011.69,1077904.6500000006,4415178.79,668150.7400000001,3.755412722742636,0.7329333711258865,3.4626848581376293,0.5126271277928882,2.099759400620248,8.461318051263873,92.2051746048508,19.51671960547159,55.912879772286686,3.675771144278608,0.6892459138187221,3.38254332962315,0.4624622499056248,,10.102099026446478
ME,2025Q3,77,92.0,461567.0,65.2,5017.0,2007372.46,485241.72,1886999.9300000004,370587.28,1313717.37,191760.37,4.349038081145316,1.0512920551079257,4.088247058390224,0.8028894613349741,2.846211644246664,9.55280466486025,94.00347805907433,24.17297884020985,65.44462456160227,4.207594864479314,1.0291035856573705,3.965933794466404,0.7832346632346633,,9.964140942104827
MI,2025Q3,410,92.0,3179558.0,84.3,34560.4,12680551.840000004,2237774.569999999,11686898.750000007,1464629.220000001,7503834.179999999,375192.08,3.988149245901476,0.70380051881425,3.675636283407948,0.4606392523740724,2.3600243115552537,2.9587993072705245,92.1639601924454,17.647296412929595,59.17592763060693,3.891357355649968,0.7096012675854793,3.573266745661792,0.47521260978248236,,2.508000316237741
MN,2025Q3,333,92.0,1793786.0,58.6,19497.7,7509908.830000001,1845681.19,6899224.4700000025,1305660.629999999,4531387.899999998,425070.9,4.186624731155222,1.0289305357495264,3.846180352617315,0.7278798195548404,2.526158583019378,5.66013395930933,91.86828530380444,24.57661247000784,60.33878709550189,4.1706297056810415,0.9683771712158806,3.841380915438323,0.6497261168822892,,6.427561158633052
MO,2025Q3,478,92.0,3197247.0,72.7,34752.7,10841285.380000012,1282686.1699999992,10177595.739999996,848088.0100000001,7409762.629999996,423615.8300000001,3.390818845087668,0.401184572227294,3.1832372475445263,0.2652557059245032,2.317544634493361,3.9074317772455833,93.87812776126722,11.831495298207876,68.34763932761622,3.3905317870997322,0.3967166408307272,3.1467514249469994,0.26681854262644555,,5.34781622416318
MS,2025Q3,200,92.0,1362552.0,74.1,14810.3,5590170.159999999,798092.3800000004,5169547.279999999,521067.7399999999,3337205.07,294451.80999999994,4.102720600755053,0.5857335206289377,3.794018342052266,0.3824204434032608,2.449231346766949,5.267313902301678,92.47566947049783,14.276709959755507,59.69773682166413,4.019324518752707,0.5703182502836392,3.7420677584138398,0.3486195047027919,,4.359573201447085
MT,2025Q3,58,92.0,300153.0,56.3,3262.5,1141658.73,260404.2200000001,1071951.05,203584.67000000004,724124.6,95719.31,3.803589269472569,0.8675716051480414,3.571348778789484,0.6782696491456025,2.412518282342672,8.384231424394223,93.89417536359574,22.80928732529379,63.42741319903891,3.586545218946756,0.7890887788077362,3.363145057227995,0.6305443392522867,,7.018517927430151
NC,2025Q3,406,92.0,3241407.0,86.8,35232.7,11898803.159999993,1716997.7699999996,11015124.56,1068281.2799999996,7413843.429999999,1075115.3800000006,3.6708759992188553,0.5297075529237765,3.3982540791699405,0.3295733241768157,2.287230030045594,9.035491767896438,92.573382481268,14.43000398369478,62.30747185500969,3.5559010540085003,0.5141337522729276,3.284075723388314,0.311988841817767,,9.617441553570684
ND,2025Q3,73,92.0,416608.0,62.0,4528.3,1897591.47,374753.16,1778923.1900000002,265856.50999999995,1305855.8800000004,238211.75000000003,4.554860852408019,0.8995342384207696,4.270016874375912,0.6381454748828634,3.1344954489592145,12.553373777549709,93.74637365965816,19.748885148603662,68.81649188694973,4.35125173852573,0.9115600067900188,4.096706839409461,0.5801435406698564,,13.210804867417863
NE,2025Q3,177,92.0,894366.0,54.9,9721.4,3713477.71,610886.8799999997,3457350.2400000007,414158.28000000014,2467735.0900000003,275335.08,4.1520783549464095,0.683039024292068,3.8656995458235226,0.4630747143786773,2.7592004727371124,7.414480481693801,93.10276000014014,16.450533104182806,66.45347791787337,3.9598415291619022,0.6493001163241566,3.696752183406113,0.4213069073783359,,9.18663110792377
NH,2025Q3,73,92.0,537548.0,80.0,5842.9,2059510.3499999996,386502.19000000006,1922975.68,279113.25,1260414.39,276295.6699999999,3.831305018342547,0.7190096326281561,3.5773097100165936,0.519234096303958,2.3447476132364,13.415599975013478,93.37052761108971,18.766702968984845,61.1997113779982,3.602045493415427,0.6979292563048908,3.348134092346617,0.5144829227656789,,8.644628861156491
NJ,2025Q3,345,92.0,3812397.0,120.1,41439.1,14123305.479999997,2289700.309999999,13026640.819999998,1478324.8199999994,8390931.440000005,1691190.2000000004,3.7045736527439286,0.6005933563582174,3.416916134389991,0.3877678059236746,2.20095951182419,11.97446449342113,92.23507087945536,16.212212595999162,59.41195176923984,3.630189799331102,0.5818657273988687,3.3203221979011115,0.3465571120689655,,9.48471706868886
NM,2025Q3,67,92.0,518016.0,84.0,5630.6,1798063.2499999998,304494.1699999999,1685468.3,229174.49,1131273.74,206827.55,3.471057361162589,0.5878084267667406,3.253699306585125,0.442408130250803,2.183858683901656,11.502796133562043,93.7379872482239,16.934563898127607,62.9162372347024,3.270814653730344,0.5520670204771467,3.069506660088802,0.41713754967626765,,9.252060291733471
NV,2025Q3,64,92.0,542901.0,92.2,5901.1,2102709.590000001,436238.0899999999,1954891.4000000008,342089.61,1161690.2099999995,49420.780000000006,3.8730994969616943,0.8035315646867475,3.6008248280994155,0.6301141644609238,2.1397827780755603,2.3503378799922623,92.97010910574674,20.74647360123562,55.24729689371889,3.883437959274014,0.8622274683655224,3.5944999531127317,0.7417198909109027,,4.064461264513488
NY,2025Q3,590,92.0,9016424.0,166.1,98004.6,32212244.439999983,5972936.260000002,30808381.799999986,4680436.340000002,19748810.02,3370333.659999999,3.572618639052465,0.6624506855489495,3.416918037572322,0.519101180246182,2.1903151426774072,10.462896077538897,95.64183538152736,18.542440503099584,61.30839487693894,3.5271356122928874,0.5542802301641346,3.35773704694594,0.4222170913239528,,6.64904596989843
OH,2025Q3,920,92.0,6167650.0,72.9,67039.7,22732269.790000007,3674183.6900000046,20879785.7,2412218.580000004,13133341.750000004,1104137.24,3.685726296077113,0.5957185783888522,3.3853713651066446,0.3911082146360451,2.1293915429701755,4.8571359138352,91.85086176121786,16.162854496898014,57.774000886516845,3.5824058391024582,0.5811118819264685,3.2707017310753366,0.3636725663716814,,5.25312739917807
OK,2025Q3,266,92.0,1482755.0,60.6,16116.9,5705126.760000001,481350.08,5306469.490000001,295992.7299999998,3835776.990000001,137476.75000000003,3.847653024269013,0.324632242008963,3.578790487976774,0.1996234914061998,2.586925682260388,2.4097054418471857,93.01229776707014,8.437149606821354,67.23386090022653,3.7793379825012003,0.3185626168305491,3.4786200914209005,0.1805280528052805,,2.487649983583222
OR,2025Q3,123,92.0,650614.0,57.5,7071.9,3212116.610000001,414384.62,3017071.6800000006,275843.81,2194589.09,275237.43000000017,4.937054244144763,0.6369131620284838,4.637268303479483,0.4239745993784333,3.37310462117323,8.568724720115316,93.92783781906348,12.900671747405829,68.32221106692634,5.006904427266337,0.6257651853799632,4.656006309977651,0.3951065814015454,,6.826852021606328
PA,2025Q3,655,92.0,6202977.0,102.9,67423.7,23072620.77000001,4055820.06,21466680.120000023,2711404.019999997,13408535.959999995,2837779.3699999982,3.719604436708376,0.6538505720720873,3.4607060642011125,0.4371133441249253,2.161629159676071,12.299336942640682,93.03962620454412,17.578497477293723,58.11449030287161,3.643895837222326,0.6631855597365947,3.404323230226282,0.4625953475657867,,9.790051332515707
PR,2025Q3,7,92.0,20841.0,32.4,226.5,60291.41,48667.33,51618.21,40392.850000000006,0.0,1741.0,2.892923084304976,2.33517249652128,2.4767626313516624,1.9381435631687545,0.0,2.8876418713710628,85.61453447514332,80.7201722434423,0.0,4.307205623901582,2.0876977152899827,3.76256590509666,1.5430579964850617,,4.501667402267714
RI,2025Q3,71,92.0,627058.0,96.0,6815.8,2306787.9400000004,437051.73000000016,2169518.58,321227.9200000001,1535268.1000000003,124259.97000000002,3.67874732480887,0.6969877268131499,3.4598371761463853,0.5122778435168678,2.448366977217419,5.386709712033608,94.0493290423566,18.94633322905269,66.55436650149991,3.62263810741688,0.6972233564720294,3.4082676263700296,0.5310588685015291,,6.964899020044401
SC,2025Q3,183,92.0,1559739.0,92.6,16953.7,5676520.96,827370.4999999995,5283182.619999997,526540.0299999999,3329425.2699999986,377740.57,3.639404387528939,0.5304544542388179,3.387222233976324,0.3375821403452756,2.134604103635287,6.654438038047868,93.07078503238712,14.57530952197875,58.65256718791361,3.567675326008831,0.511369900771775,3.332187857961054,0.318836313345846,,8.582264688161253
SD,2025Q3,93,92.0,444121.0,51.9,4827.4,1694892.93,342204.8999999999,1565464.05,227983.22999999995,1136982.7100000002,144322.42,3.816286394923906,0.7705217722197327,3.52485932887659,0.5133358476631368,2.5600741914928595,8.515134935396777,92.3635954986254,20.190355033223245,67.08286345851948,3.656008359456636,0.7500642515379358,3.3964106614017777,0.5135434039644566,,8.463012824822128
TN,2025Q3,301,92.0,2281935.0,82.4,24803.6,8658017.53,1298769.3100000003,7985079.990000001,852676.1300000002,4901507.980000003,314677.41,3.7941560693008345,0.5691526314290286,3.4992583005212685,0.3736636363437172,2.1479612609473997,3.634520361152468,92.22757937751602,15.00077015898581,56.61235915746642,3.689443382435623,0.5409972433922489,3.387109304966234,0.3459988144635447,,4.127704491921987
TX,2025Q3,1162,92.0,8048681.0,75.3,87485.7,26934281.26,3273903.350000001,24669978.100000005,2234612.3399999966,16168454.899999993,536212.7899999993,3.346421762770819,0.4067627167730962,3.0650957715928864,0.2776370861262853,2.008832863421968,1.9908190043159864,91.59322969065931,12.155153940796122,60.02927920713334,3.2766371833733263,0.3805776050801998,2.9859107835144583,0.2448374760994263,,2.107453317252176
UT,2025Q3,97,92.0,539999.0,60.5,5869.6,2101021.5,571276.04,1921783.51,424617.3699999999,1249399.4200000002,73631.6,3.890787760718075,1.0579205517047254,3.558864942342486,0.7863299191294797,2.313706914272064,3.5045619476050107,91.46900733762126,27.19039476749762,59.46628437643309,3.761119459053343,1.0069749228700262,3.440092040445944,0.8093380096472373,,3.2663832294218977
VA,2025Q3,289,92.0,2612325.0,98.3,28394.8,9383760.670000006,1439717.7199999995,8548474.85,880890.3600000003,5352121.269999998,582052.5700000001,3.5921107327763604,0.5511250399548294,3.272362684581742,0.3372055008469468,2.0487960992602368,6.202764440282765,91.09860268846772,15.34265174305643,57.03599503673184,3.489989419588874,0.5310798315010788,3.194477719214183,0.3053695685789392,,5.185165383518677
VT,2025Q3,34,92.0,225363.0,72.0,2449.6,948191.56,177682.19999999998,893080.5399999999,131684.87,562466.51,230820.45,4.20739677764318,0.7884266716364264,3.9628534408931366,0.5843233805016795,2.495824558601013,24.34322975834124,94.18777572751226,18.73906154574926,59.319923708243095,4.128530544622119,0.7683541867220025,3.863026629525832,0.5811700233495427,,22.273559691636642
WA,2025Q3,187,92.0,1270581.0,73.9,13810.7,5403632.129999999,1075171.82,4991957.980000002,811090.73,3273806.1599999988,227879.86,4.252882838638386,0.8462048621850949,3.9288781903711785,0.6383620800248075,2.576621372427258,4.217160874717059,92.381528940239,19.897206066838606,60.58528932464541,4.133552274781561,0.8377848012361288,3.792068339885092,0.6179165515335728,,5.40991072761231
WI,2025Q3,321,92.0,1607452.0,54.4,17472.3,6689812.179999997,1489401.2800000007,6190502.64,1055928.6699999997,4151904.6200000015,574387.9199999998,4.161749265296878,0.9265603451922676,3.851127523559024,0.6568959259747722,2.5829104819304107,8.586009659840705,92.5362696804442,22.2637234039656,62.06309696425594,4.04734737403359,0.9103712200208548,3.778566375854751,0.6282916280506645,,7.033334231588024
WV,2025Q3,121,92.0,876530.0,78.7,9527.5,3112533.929999999,562856.19,2861971.03,343075.19999999995,1767592.9199999997,143470.41999999998,3.5509725052194434,0.6421413870603402,3.2651147479264826,0.391401549290954,2.016580060009354,4.609441157160335,91.9498741014528,18.083535879719715,56.7895149017701,3.4867909867909868,0.640959251316046,3.181932865291795,0.3759193163938179,,2.260460128976828
WY,2025Q3,34,92.0,180887.0,57.8,1966.2,666462.49,151751.62000000002,616103.9200000002,108250.05,428429.21,29940.84,3.684413418321936,0.8389304925174281,3.406015468220492,0.598440186414723,2.368490881047284,4.492501896093208,92.44390033113494,22.76971656724447,64.28406946053333,3.6680579981215615,0.8187862446070142,3.416052184599246,0.5272442311423144,,4.564584909039175
